# This file contains objective function values from parameter estimation. Extended metabolic model, parameter estimation upper bounds of 1e4 and constraints on all internal metabbolites with lower bound of 0 mM and upper bounds of 1e2, 1e3 and 1e4.
value,model,ph,vc
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
inf,extended_phys_constraints_1e2,6.5,False
222.699,extended_phys_constraints_1e2,6.5,True
229.187,extended_phys_constraints_1e2,6.5,True
211.161,extended_phys_constraints_1e2,6.5,True
227.278,extended_phys_constraints_1e2,6.5,True
217.572,extended_phys_constraints_1e2,6.5,True
214.616,extended_phys_constraints_1e2,6.5,True
19264.4,extended_phys_constraints_1e2,6.5,True
212.297,extended_phys_constraints_1e2,6.5,True
13333.8,extended_phys_constraints_1e2,6.5,True
217.847,extended_phys_constraints_1e2,6.5,True
26216.1,extended_phys_constraints_1e2,6.5,True
222.204,extended_phys_constraints_1e2,6.5,True
26238.8,extended_phys_constraints_1e2,6.5,True
214.948,extended_phys_constraints_1e2,6.5,True
207.608,extended_phys_constraints_1e2,6.5,True
26241.1,extended_phys_constraints_1e2,6.5,True
217.985,extended_phys_constraints_1e2,6.5,True
219.22,extended_phys_constraints_1e2,6.5,True
26239.4,extended_phys_constraints_1e2,6.5,True
208.954,extended_phys_constraints_1e2,6.5,True
9713.66,extended_phys_constraints_1e2,6.5,True
221.254,extended_phys_constraints_1e2,6.5,True
221.546,extended_phys_constraints_1e2,6.5,True
221.575,extended_phys_constraints_1e2,6.5,True
224.072,extended_phys_constraints_1e2,6.5,True
9877.05,extended_phys_constraints_1e2,6.5,True
215.11,extended_phys_constraints_1e2,6.5,True
198.399,extended_phys_constraints_1e2,6.5,True
210.253,extended_phys_constraints_1e2,6.5,True
11699.3,extended_phys_constraints_1e2,6.5,True
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
inf,extended_phys_constraints_1e2,6.0,False
49.7493,extended_phys_constraints_1e2,6.0,True
