# This file contains objective function values from parameter estimation. Simplified metabolic model, parameter estimation upper bounds of 1e2 and 1e4. 
value,model,ph,vc
236.012,simple_no_constraints_bounds_1e2,6.5,False
543.937,simple_no_constraints_bounds_1e2,6.5,False
8897.65,simple_no_constraints_bounds_1e2,6.5,False
835.026,simple_no_constraints_bounds_1e2,6.5,False
674.325,simple_no_constraints_bounds_1e2,6.5,False
602.329,simple_no_constraints_bounds_1e2,6.5,False
834.381,simple_no_constraints_bounds_1e2,6.5,False
254.521,simple_no_constraints_bounds_1e2,6.5,False
658.539,simple_no_constraints_bounds_1e2,6.5,False
672.34,simple_no_constraints_bounds_1e2,6.5,False
697.591,simple_no_constraints_bounds_1e2,6.5,False
246.176,simple_no_constraints_bounds_1e2,6.5,False
726.646,simple_no_constraints_bounds_1e2,6.5,False
673.854,simple_no_constraints_bounds_1e2,6.5,False
692.431,simple_no_constraints_bounds_1e2,6.5,False
245.477,simple_no_constraints_bounds_1e2,6.5,False
833.911,simple_no_constraints_bounds_1e2,6.5,False
650.154,simple_no_constraints_bounds_1e2,6.5,False
726.309,simple_no_constraints_bounds_1e2,6.5,False
286.093,simple_no_constraints_bounds_1e2,6.5,False
278.333,simple_no_constraints_bounds_1e2,6.5,False
668.046,simple_no_constraints_bounds_1e2,6.5,False
584.339,simple_no_constraints_bounds_1e2,6.5,False
698.125,simple_no_constraints_bounds_1e2,6.5,False
235.276,simple_no_constraints_bounds_1e2,6.5,False
833.059,simple_no_constraints_bounds_1e2,6.5,False
296.475,simple_no_constraints_bounds_1e2,6.5,False
726.153,simple_no_constraints_bounds_1e2,6.5,False
655.931,simple_no_constraints_bounds_1e2,6.5,False
900.746,simple_no_constraints_bounds_1e2,6.5,False
155.14,simple_no_constraints_bounds_1e2,6.5,True
260.615,simple_no_constraints_bounds_1e2,6.5,True
153.352,simple_no_constraints_bounds_1e2,6.5,True
79.7707,simple_no_constraints_bounds_1e2,6.5,True
82.5213,simple_no_constraints_bounds_1e2,6.5,True
153.203,simple_no_constraints_bounds_1e2,6.5,True
170.085,simple_no_constraints_bounds_1e2,6.5,True
81.2369,simple_no_constraints_bounds_1e2,6.5,True
79.8943,simple_no_constraints_bounds_1e2,6.5,True
98.5709,simple_no_constraints_bounds_1e2,6.5,True
82.8954,simple_no_constraints_bounds_1e2,6.5,True
121.335,simple_no_constraints_bounds_1e2,6.5,True
268.221,simple_no_constraints_bounds_1e2,6.5,True
171.745,simple_no_constraints_bounds_1e2,6.5,True
161.407,simple_no_constraints_bounds_1e2,6.5,True
106.553,simple_no_constraints_bounds_1e2,6.5,True
154.143,simple_no_constraints_bounds_1e2,6.5,True
85.2811,simple_no_constraints_bounds_1e2,6.5,True
252.486,simple_no_constraints_bounds_1e2,6.5,True
150.362,simple_no_constraints_bounds_1e2,6.5,True
157.403,simple_no_constraints_bounds_1e2,6.5,True
165.881,simple_no_constraints_bounds_1e2,6.5,True
252.99,simple_no_constraints_bounds_1e2,6.5,True
140.105,simple_no_constraints_bounds_1e2,6.5,True
259.278,simple_no_constraints_bounds_1e2,6.5,True
85.2474,simple_no_constraints_bounds_1e2,6.5,True
258.321,simple_no_constraints_bounds_1e2,6.5,True
263.749,simple_no_constraints_bounds_1e2,6.5,True
73.9226,simple_no_constraints_bounds_1e2,6.5,True
87.546,simple_no_constraints_bounds_1e2,6.5,True
485.261,simple_no_constraints_bounds_1e2,6.0,False
380.214,simple_no_constraints_bounds_1e2,6.0,False
64.6886,simple_no_constraints_bounds_1e2,6.0,False
542.101,simple_no_constraints_bounds_1e2,6.0,False
450.382,simple_no_constraints_bounds_1e2,6.0,False
471.755,simple_no_constraints_bounds_1e2,6.0,False
519.096,simple_no_constraints_bounds_1e2,6.0,False
471.941,simple_no_constraints_bounds_1e2,6.0,False
