# This file contains objective function values from parameter estimation. Simplified metabolic model, parameter estimation upper bounds of 1e4 and constraints on all internal metabbolites with lower bound of 0 mM and upper bounds of 1e2, 1e3 and 1e4.
value,model,ph,vc
493.904,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
626.364,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
630.436,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
447.375,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
543.39,simple_phys_constraints_1e2,6.5,False
594.607,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
453.137,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
531.321,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
531.862,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
inf,simple_phys_constraints_1e2,6.5,False
10269.0,simple_phys_constraints_1e2,6.5,True
227.217,simple_phys_constraints_1e2,6.5,True
10266.5,simple_phys_constraints_1e2,6.5,True
220.267,simple_phys_constraints_1e2,6.5,True
222.84,simple_phys_constraints_1e2,6.5,True
231.557,simple_phys_constraints_1e2,6.5,True
220.899,simple_phys_constraints_1e2,6.5,True
218.272,simple_phys_constraints_1e2,6.5,True
222.944,simple_phys_constraints_1e2,6.5,True
222.751,simple_phys_constraints_1e2,6.5,True
218.575,simple_phys_constraints_1e2,6.5,True
225.381,simple_phys_constraints_1e2,6.5,True
26275.5,simple_phys_constraints_1e2,6.5,True
221.923,simple_phys_constraints_1e2,6.5,True
223.924,simple_phys_constraints_1e2,6.5,True
161.014,simple_phys_constraints_1e2,6.5,True
222.984,simple_phys_constraints_1e2,6.5,True
222.857,simple_phys_constraints_1e2,6.5,True
227.302,simple_phys_constraints_1e2,6.5,True
222.07,simple_phys_constraints_1e2,6.5,True
227.866,simple_phys_constraints_1e2,6.5,True
214.649,simple_phys_constraints_1e2,6.5,True
226.344,simple_phys_constraints_1e2,6.5,True
10264.8,simple_phys_constraints_1e2,6.5,True
222.726,simple_phys_constraints_1e2,6.5,True
222.262,simple_phys_constraints_1e2,6.5,True
223.234,simple_phys_constraints_1e2,6.5,True
1925.08,simple_phys_constraints_1e2,6.5,True
10280.3,simple_phys_constraints_1e2,6.5,True
221.855,simple_phys_constraints_1e2,6.5,True
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
329.518,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
340.291,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
130.486,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
127.757,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
137.288,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
367.141,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
inf,simple_phys_constraints_1e2,6.0,False
5987.52,simple_phys_constraints_1e2,6.0,True
76.0119,simple_phys_constraints_1e2,6.0,True
45.6058,simple_phys_constraints_1e2,6.0,True
49.6738,simple_phys_constraints_1e2,6.0,True
65.8887,simple_phys_constraints_1e2,6.0,True
52.5881,simple_phys_constraints_1e2,6.0,True
45.6865,simple_phys_constraints_1e2,6.0,True
66.6289,simple_phys_constraints_1e2,6.0,True
65.824,simple_phys_constraints_1e2,6.0,True
67.4239,simple_phys_constraints_1e2,6.0,True
6020.15,simple_phys_constraints_1e2,6.0,True
67.8183,simple_phys_constraints_1e2,6.0,True
104.756,simple_phys_constraints_1e2,6.0,True
54.3014,simple_phys_constraints_1e2,6.0,True
53.6345,simple_phys_constraints_1e2,6.0,True
53.8342,simple_phys_constraints_1e2,6.0,True
6023.17,simple_phys_constraints_1e2,6.0,True
48.3698,simple_phys_constraints_1e2,6.0,True
5991.67,simple_phys_constraints_1e2,6.0,True
67.5815,simple_phys_constraints_1e2,6.0,True
97.2052,simple_phys_constraints_1e2,6.0,True
80.6391,simple_phys_constraints_1e2,6.0,True
66.8876,simple_phys_constraints_1e2,6.0,True
67.3104,simple_phys_constraints_1e2,6.0,True
49.6582,simple_phys_constraints_1e2,6.0,True
66.1478,simple_phys_constraints_1e2,6.0,True
67.5152,simple_phys_constraints_1e2,6.0,True
65.5768,simple_phys_constraints_1e2,6.0,True
84.0494,simple_phys_constraints_1e2,6.0,True
53.0382,simple_phys_constraints_1e2,6.0,True
531.778,simple_high_constraints_1e3,6.5,False
773.721,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
525.202,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
527.903,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
612.867,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
630.607,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
543.98,simple_high_constraints_1e3,6.5,False
556.904,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
525.12,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
588.824,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
513.243,simple_high_constraints_1e3,6.5,False
inf,simple_high_constraints_1e3,6.5,False
10241.2,simple_high_constraints_1e3,6.5,True
1825.06,simple_high_constraints_1e3,6.5,True
214.413,simple_high_constraints_1e3,6.5,True
214.979,simple_high_constraints_1e3,6.5,True
215.278,simple_high_constraints_1e3,6.5,True
1896.05,simple_high_constraints_1e3,6.5,True
215.325,simple_high_constraints_1e3,6.5,True
224.031,simple_high_constraints_1e3,6.5,True
214.775,simple_high_constraints_1e3,6.5,True
10163.8,simple_high_constraints_1e3,6.5,True
194.136,simple_high_constraints_1e3,6.5,True
10225.1,simple_high_constraints_1e3,6.5,True
10156.7,simple_high_constraints_1e3,6.5,True
211.842,simple_high_constraints_1e3,6.5,True
10231.3,simple_high_constraints_1e3,6.5,True
218.727,simple_high_constraints_1e3,6.5,True
221.087,simple_high_constraints_1e3,6.5,True
220.067,simple_high_constraints_1e3,6.5,True
10074.9,simple_high_constraints_1e3,6.5,True
1875.82,simple_high_constraints_1e3,6.5,True
219.224,simple_high_constraints_1e3,6.5,True
218.554,simple_high_constraints_1e3,6.5,True
223.537,simple_high_constraints_1e3,6.5,True
232.741,simple_high_constraints_1e3,6.5,True
221.273,simple_high_constraints_1e3,6.5,True
206.763,simple_high_constraints_1e3,6.5,True
214.38,simple_high_constraints_1e3,6.5,True
219.085,simple_high_constraints_1e3,6.5,True
214.704,simple_high_constraints_1e3,6.5,True
218.289,simple_high_constraints_1e3,6.5,True
317.026,simple_high_constraints_1e3,6.0,False
73.1618,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
296.864,simple_high_constraints_1e3,6.0,False
38.8652,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
348.651,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
36.9381,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
36.6419,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
473.921,simple_high_constraints_1e3,6.0,False
6069.9,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
6069.46,simple_high_constraints_1e3,6.0,False
324.02,simple_high_constraints_1e3,6.0,False
81.0863,simple_high_constraints_1e3,6.0,False
322.814,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
50.0916,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
inf,simple_high_constraints_1e3,6.0,False
317.534,simple_high_constraints_1e3,6.0,False
361.449,simple_high_constraints_1e3,6.0,False
5874.17,simple_high_constraints_1e3,6.0,True
57.8562,simple_high_constraints_1e3,6.0,True
47.0244,simple_high_constraints_1e3,6.0,True
63.6377,simple_high_constraints_1e3,6.0,True
80.491,simple_high_constraints_1e3,6.0,True
62.5307,simple_high_constraints_1e3,6.0,True
5909.53,simple_high_constraints_1e3,6.0,True
36.6721,simple_high_constraints_1e3,6.0,True
44.3384,simple_high_constraints_1e3,6.0,True
42.1452,simple_high_constraints_1e3,6.0,True
64.6968,simple_high_constraints_1e3,6.0,True
5860.13,simple_high_constraints_1e3,6.0,True
45.1763,simple_high_constraints_1e3,6.0,True
62.7739,simple_high_constraints_1e3,6.0,True
49.0568,simple_high_constraints_1e3,6.0,True
45.2177,simple_high_constraints_1e3,6.0,True
46.7147,simple_high_constraints_1e3,6.0,True
44.9772,simple_high_constraints_1e3,6.0,True
65.1656,simple_high_constraints_1e3,6.0,True
45.4011,simple_high_constraints_1e3,6.0,True
68.0897,simple_high_constraints_1e3,6.0,True
47.9504,simple_high_constraints_1e3,6.0,True
41.7845,simple_high_constraints_1e3,6.0,True
44.1989,simple_high_constraints_1e3,6.0,True
53.141,simple_high_constraints_1e3,6.0,True
71.6023,simple_high_constraints_1e3,6.0,True
44.9947,simple_high_constraints_1e3,6.0,True
64.1879,simple_high_constraints_1e3,6.0,True
34.8057,simple_high_constraints_1e3,6.0,True
48.6871,simple_high_constraints_1e3,6.0,True
inf,simple_very_high_constraints_1e4,6.5,False
553.905,simple_very_high_constraints_1e4,6.5,False
509.908,simple_very_high_constraints_1e4,6.5,False
464.476,simple_very_high_constraints_1e4,6.5,False
711.931,simple_very_high_constraints_1e4,6.5,False
514.41,simple_very_high_constraints_1e4,6.5,False
443.796,simple_very_high_constraints_1e4,6.5,False
373.285,simple_very_high_constraints_1e4,6.5,False
390.969,simple_very_high_constraints_1e4,6.5,False
506.732,simple_very_high_constraints_1e4,6.5,False
inf,simple_very_high_constraints_1e4,6.5,False
inf,simple_very_high_constraints_1e4,6.5,False
9375.44,simple_very_high_constraints_1e4,6.5,False
532.376,simple_very_high_constraints_1e4,6.5,False
563.279,simple_very_high_constraints_1e4,6.5,False
676.412,simple_very_high_constraints_1e4,6.5,False
810.216,simple_very_high_constraints_1e4,6.5,False
449.37,simple_very_high_constraints_1e4,6.5,False
247.704,simple_very_high_constraints_1e4,6.5,False
213.649,simple_very_high_constraints_1e4,6.5,False
509.908,simple_very_high_constraints_1e4,6.5,False
481.964,simple_very_high_constraints_1e4,6.5,False
447.212,simple_very_high_constraints_1e4,6.5,False
517.897,simple_very_high_constraints_1e4,6.5,False
479.53,simple_very_high_constraints_1e4,6.5,False
493.032,simple_very_high_constraints_1e4,6.5,False
9401.49,simple_very_high_constraints_1e4,6.5,False
92.1191,simple_very_high_constraints_1e4,6.5,False
557.41,simple_very_high_constraints_1e4,6.5,False
519.493,simple_very_high_constraints_1e4,6.5,False
182.567,simple_very_high_constraints_1e4,6.5,True
91.076,simple_very_high_constraints_1e4,6.5,True
124.831,simple_very_high_constraints_1e4,6.5,True
218.072,simple_very_high_constraints_1e4,6.5,True
176.998,simple_very_high_constraints_1e4,6.5,True
178.149,simple_very_high_constraints_1e4,6.5,True
950.435,simple_very_high_constraints_1e4,6.5,True
187.39,simple_very_high_constraints_1e4,6.5,True
222.529,simple_very_high_constraints_1e4,6.5,True
999.963,simple_very_high_constraints_1e4,6.5,True
177.222,simple_very_high_constraints_1e4,6.5,True
175.543,simple_very_high_constraints_1e4,6.5,True
127.99,simple_very_high_constraints_1e4,6.5,True
201.053,simple_very_high_constraints_1e4,6.5,True
172.81,simple_very_high_constraints_1e4,6.5,True
150.694,simple_very_high_constraints_1e4,6.5,True
196.436,simple_very_high_constraints_1e4,6.5,True
178.077,simple_very_high_constraints_1e4,6.5,True
184.403,simple_very_high_constraints_1e4,6.5,True
704.629,simple_very_high_constraints_1e4,6.5,True
178.327,simple_very_high_constraints_1e4,6.5,True
9631.72,simple_very_high_constraints_1e4,6.5,True
179.968,simple_very_high_constraints_1e4,6.5,True
179.876,simple_very_high_constraints_1e4,6.5,True
185.481,simple_very_high_constraints_1e4,6.5,True
191.484,simple_very_high_constraints_1e4,6.5,True
223.575,simple_very_high_constraints_1e4,6.5,True
177.122,simple_very_high_constraints_1e4,6.5,True
207.301,simple_very_high_constraints_1e4,6.5,True
123.93,simple_very_high_constraints_1e4,6.5,True
281.397,simple_very_high_constraints_1e4,6.0,False
276.226,simple_very_high_constraints_1e4,6.0,False
23.5809,simple_very_high_constraints_1e4,6.0,False
407.641,simple_very_high_constraints_1e4,6.0,False
250.877,simple_very_high_constraints_1e4,6.0,False
256.6,simple_very_high_constraints_1e4,6.0,False
253.202,simple_very_high_constraints_1e4,6.0,False
217.212,simple_very_high_constraints_1e4,6.0,False
24.948,simple_very_high_constraints_1e4,6.0,False
225.078,simple_very_high_constraints_1e4,6.0,False
252.528,simple_very_high_constraints_1e4,6.0,False
289.053,simple_very_high_constraints_1e4,6.0,False
288.405,simple_very_high_constraints_1e4,6.0,False
16.8546,simple_very_high_constraints_1e4,6.0,False
788.472,simple_very_high_constraints_1e4,6.0,False
504.742,simple_very_high_constraints_1e4,6.0,False
261.22,simple_very_high_constraints_1e4,6.0,False
5796.3,simple_very_high_constraints_1e4,6.0,False
216.067,simple_very_high_constraints_1e4,6.0,False
252.547,simple_very_high_constraints_1e4,6.0,False
23.4534,simple_very_high_constraints_1e4,6.0,False
252.348,simple_very_high_constraints_1e4,6.0,False
263.458,simple_very_high_constraints_1e4,6.0,False
24.021,simple_very_high_constraints_1e4,6.0,False
22.5369,simple_very_high_constraints_1e4,6.0,False
273.572,simple_very_high_constraints_1e4,6.0,False
596.238,simple_very_high_constraints_1e4,6.0,False
202.563,simple_very_high_constraints_1e4,6.0,False
265.046,simple_very_high_constraints_1e4,6.0,False
242.702,simple_very_high_constraints_1e4,6.0,False
1.2117,simple_very_high_constraints_1e4,6.0,True
41.7161,simple_very_high_constraints_1e4,6.0,True
27.8616,simple_very_high_constraints_1e4,6.0,True
31.049,simple_very_high_constraints_1e4,6.0,True
5240.03,simple_very_high_constraints_1e4,6.0,True
29.5175,simple_very_high_constraints_1e4,6.0,True
52.6653,simple_very_high_constraints_1e4,6.0,True
22.5792,simple_very_high_constraints_1e4,6.0,True
18.7468,simple_very_high_constraints_1e4,6.0,True
29.5635,simple_very_high_constraints_1e4,6.0,True
43.4483,simple_very_high_constraints_1e4,6.0,True
46.4306,simple_very_high_constraints_1e4,6.0,True
23.4384,simple_very_high_constraints_1e4,6.0,True
30.1284,simple_very_high_constraints_1e4,6.0,True
29.4654,simple_very_high_constraints_1e4,6.0,True
41.2409,simple_very_high_constraints_1e4,6.0,True
19.0932,simple_very_high_constraints_1e4,6.0,True
48.4457,simple_very_high_constraints_1e4,6.0,True
42.4407,simple_very_high_constraints_1e4,6.0,True
30.1654,simple_very_high_constraints_1e4,6.0,True
